AA5,10117,"Selby Lake, AK: Selby Lake Airport",66.95583333,-155.615,AK
AAE,10121,"Annaba, Algeria: Rabah Bitat",36.82166667,7.81,Al
AAF,10122,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",29.7275,-85.0275,FL
AAL,10125,"Aalborg, Denmark: Aalborg Airport",57.09305556,9.85,De
AAR,10130,"Aarhus, Denmark: Aarhus Airport",56.31027778,10.61805556,De
ABE,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",40.65472222,-75.43833333,PA
ABI,10136,"Abilene, TX: Abilene Regional",32.40944444,-99.67972222,TX
ABJ,10137,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",5.25555556,-3.92916667,Co
ABL,10139,"Ambler, AK: Ambler River",67.0875,-157.8458333,AK
ABQ,10140,"Albuquerque, NM: Albuquerque International Sunport",35.04166667,-106.6063889,NM
ABR,10141,"Aberdeen, SD: Aberdeen Regional",45.44972222,-98.42166667,SD
ABY,10146,"Albany, GA: Southwest Georgia Regional",31.53222222,-84.19611111,GA
ACA,10148,"Acapulco, Mexico: General Juan N Alvarez International",16.75555556,-99.76694444,Me
ACB,10149,"Bellaire, MI: Antrim County",44.98472222,-85.19916667,MI
ACK,10154,"Nantucket, MA: Nantucket Memorial",41.25666667,-70.05972222,MA
ACT,10155,"Waco, TX: Waco Regional",31.61138889,-97.22861111,TX
ACU,10156,"Achutupo, Panama: Achutupo Airport",8.43333333,-77.96666667,Pa
ACV,10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",40.97916667,-124.1075,CA
ACY,10158,"Atlantic City, NJ: Atlantic City International",39.45611111,-74.57805556,NJ
ADC,10161,"Andakombe, Papua New Guinea: Andakombe Airport",-7.13611111,145.7441667,Pa
ADK,10165,"Adak Island, AK: Adak",51.88277778,-176.6447222,AK
ADM,10167,"Ardmore, OK: Ardmore Municipal",34.30305556,-97.01972222,OK
ADN,10168,"Andes, Colombia: Andes Airport",5.66666667,-75.88333333,Co
ADQ,10170,"Kodiak, AK: Kodiak Airport",57.75,-152.4938889,AK
ADS,10171,"Dallas, TX: Addison",32.96833333,-96.83611111,TX
ADW,10172,"Camp Springs, MD: Joint Base Andrews",38.81083333,-76.86722222,MD
ADZ,10174,"San Andres Island, Colombia: Gustavo Rojas Pinilla",12.58333333,-81.7,Co
AED,10176,"Aleneva, AK: Aleneva Airport",58.03333333,-152.9,AK
AEG,10177,"Padang Sidempuan, Indonesia: Aek Godang",1.4,99.43055556,In
AEO,10180,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",16.70916667,-9.63555556,Ma
AEP,10181,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",-34.55888889,-58.41583333,Ar
AET,10184,"Allakaket, AK: Allakaket Airport",66.56166667,-152.6583333,AK
AEX,10185,"Alexandria, LA: Alexandria International",31.32416667,-92.54694444,LA
AFA,10188,"San Rafael, Argentina: San Rafael Airport",-34.58916667,-68.40055556,Ar
AFF,10189,"Colorado Springs, CO: USAF Academy Airfield",38.96972222,-104.8125,CO
AFK,10190,"Nebraska, NE: Nebraska City Municipal",40.60694444,-95.86583333,NE
AFO,10191,"Afton, WY: Afton Municipal",42.71666667,-110.9333333,WY
AFP,10192,"Wadesboro, NC: Anson County Jeff Cloud Field",35.02388889,-80.08138889,NC
AFW,10194,"Dallas/Fort Worth, TX: Fort Worth Alliance",32.98666667,-97.3175,TX
AGA,10196,"Agadir, Morocco: Inezgane",30.38055556,-9.54583333,Mo
AGC,10198,"Pittsburgh, PA: Allegheny County",40.35472222,-79.93,PA
AGG,10200,"Angoram, Papua New Guinea: Angoram Airport",-4.06583333,144.0738889,Pa
AGK,10202,"Kagua, Papua New Guinea: Kagua Airport",-6.40333333,143.8466667,Pa
AGL,10203,"Wanigela, Papua New Guinea: Wanigela Airport",-9.34027778,149.1552778,Pa
AGN,10204,"Angoon, AK: Angoon Seaplane Base",57.50388889,-134.5833333,AK
AGR,10207,"Agra, India: Agra Airport",27.15833333,77.96277778,In
AGS,10208,"Augusta, GA: Augusta Regional at Bush Field",33.36916667,-81.96444444,GA
AGT,10209,"Ciudad del Este, Paraguay: Guarani International",-25.45555556,-54.84361111,Pa
AGU,10210,"Aguascalientes, Mexico: Jesus Teran International",21.70555556,-102.3177778,Me
AGX,10212,"Agatti Island, India: Agatti Island Airport",10.83333333,72.2,In
AHD,10215,"Ardmore, OK: Ardmore Downtown Executive",34.14694444,-97.12277778,OK
AHN,10216,"Athens, GA: Athens/Ben Epps",33.94833333,-83.32694444,GA
AHT,10219,"Amchitka Island, AK: Amchitka",51.37861111,179.2586111,AK
AHU,10220,"Al Hoceima, Morocco: Cherif El Idrissi International",35.17972222,-3.83694444,Mo
AIA,10221,"Alliance, NE: Alliance Municipal",42.05166667,-102.8066667,NE
AIB,10222,"Anita Bay, AK: Anita Bay Airport",56.19,-132.4458333,AK
AID,10223,"Anderson, IN: Anderson Municipal-Darlington Field",40.10861111,-85.61305556,IN
AIK,10224,"Aiken, SC: Aiken Regional",33.65,-81.68472222,SC
AIN,10225,"Wainwright, AK: Wainwright Airport",70.63055556,-160.0430556,AK
AIT,10226,"Aitutaki, Cook Islands: Aitutaki Airport",-18.85,-159.75,Co
AIY,10227,"Atlantic City, NJ: Bader Field",39.36,-74.46,NJ
AIZ,10228,"Lake of the Ozarks, MO: Lee C Fine Memorial",38.09833333,-92.54722222,MO
AJJ,10231,"Akjoujt, Mauritania: Akjoujt Airport",19.73055556,-14.37444444,Ma
AJL,10232,"Aizwal, India: Lengpui",23.84055556,92.61972222,In
AJN,10233,"Anjouan, Comoros: Ouani",-12.12638889,44.42972222,Co
AKB,10237,"Atka, AK: Atka Airport",52.22027778,-174.2069444,AK
AKC,10238,"Akron, OH: Akron Fulton International",41.0375,-81.46694444,OH
AKI,10241,"Akiak, AK: Akiak Airport",60.90555556,-161.2233333,AK
AKK,10243,"Akhiok, AK: Akhiok Airport",56.945,-154.1666667,AK
AKL,10244,"Auckland, New Zealand: Auckland International",-37.01111111,174.7991667,Ne
AKN,10245,"King Salmon, AK: King Salmon Airport",58.67777778,-156.6516667,AK
AKO,10246,"Akron, CO: Colorado Plains Regional",40.17555556,-103.2222222,CO
AKP,10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",68.1375,-151.74,AK
AL1,10253,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field",34.22916667,-86.25583333,AL
AL2,10254,"Alabaster, AL: Shelby County",33.17694444,-86.78277778,AL
AL3,10255,"Huntsville, AL: Huntsville Executive Tom Sharp Jr",34.86138889,-86.5575,AL
ALB,10257,"Albany, NY: Albany International",42.74583333,-73.80527778,NY
ALE,10259,"Alpine, TX: Alpine Casparis Municipal",30.38416667,-103.6830556,TX
ALG,10261,"Algiers, Algeria: Houari Boumediene",36.69333333,3.21722222,Al
